code,name,current_price,last_updated
USTC,TerraClassicUSD,0.019615407401859436,2023-04-27T14:37:00
HIVE,Hive,0.4015440981046172,2023-04-27T14:37:00
BICO,Biconomy,0.36197338194676865,2023-04-27T14:37:00
FLUX,Flux,0.619306500289383,2023-04-27T14:37:00
WAXP,WAX,0.06733525975595542,2023-04-27T14:37:00
POLY,Polymath,0.19114850068379055,2023-04-27T14:37:00
CELR,Celer Network,0.02477831324889655,2023-04-27T14:37:00
SKL,SKALE,0.03901671654153847,2023-04-27T14:37:00
BORA,BORA,0.1760309654608685,2023-04-27T14:37:00
CHSB,SwissBorg,0.1741499903037567,2023-04-27T14:37:00
BNX,BinaryX,0.6010502867939019,2023-04-27T14:37:00
ELF,aelf,0.2874301759866734,2023-04-27T14:37:00
XYM,Symbol,0.030940545240578186,2023-04-27T14:37:00
CTSI,Cartesi,0.23531972879938992,2023-04-27T14:37:00
JOE,JOE,0.5040013223095771,2023-04-27T14:37:00
LQTY,Liquity,1.790850554002877,2023-04-27T14:37:00
BRISE,Bitgert,4.135761383866598e-07,2023-04-27T14:37:00
SFP,SafePal,0.43836533190020677,2023-04-27T14:37:00
CORE,Core,1.5401673014588497,2023-04-27T14:37:00
LPT,Livepeer,5.587209485166161,2023-04-27T14:37:00
TRIBE,Tribe,0.30041767605596476,2023-04-27T14:37:00
CKB,Nervos Network,0.0037892781499572455,2023-04-27T14:37:00
DGB,DigiByte,0.009332519986738121,2023-04-27T14:37:00
AMP,Amp,0.003544957951285043,2023-04-27T14:37:00
ELON,Dogelon Mars,2.7220889095503195e-07,2023-04-27T14:37:00
TRAC,OriginTrail,0.37555678896037786,2023-04-27T14:37:00
OMG,OMG Network,1.0498524584576876,2023-04-27T14:37:00
STORJ,Storj,0.3520119854069106,2023-04-27T14:37:00
KEEP,Keep Network,0.15252932878863634,2023-04-27T14:37:00
STG,Stargate Finance,0.800979776323548,2023-04-27T14:37:00
ABBC,ABBC Coin,0.10326918944665128,2023-04-27T14:37:00
